INFO -2019-01-28 22:04:37,105--Application Started...
INFO -2019-01-28 22:35:55,840--Application Started...
INFO -2019-01-30 20:13:24,939--Application Started...
INFO -2019-01-30 20:16:00,633--Application Started...
INFO -2019-01-30 21:02:41,809--Application Started...
INFO -2019-01-30 21:29:00,304--Application Started...
INFO -2019-01-30 21:32:53,113--Application Started...
INFO -2019-01-30 21:34:31,313--Application Started...
INFO -2019-01-30 21:35:27,597--Application Started...
INFO -2019-01-30 21:48:57,829--Application Started...
INFO -2019-01-30 22:58:15,284--Application Started...
INFO -2019-01-30 23:46:13,703--Application Started...
INFO -2019-01-30 23:49:48,296--Application Started...
INFO -2019-01-31 00:15:25,347--Application Started...
INFO -2019-01-31 00:21:42,246--Application Started...
INFO -2019-01-31 00:32:18,534--Application Started...
INFO -2019-01-31 00:55:24,625--Application Started...
INFO -2019-01-31 01:15:40,631--Application Started...
INFO -2019-01-31 01:32:15,394--Application Started...
INFO -2019-01-31 01:49:51,895--Application Started...
INFO -2019-01-31 02:05:17,918--Application Started...
INFO -2019-01-31 02:07:04,178--Application Started...
INFO -2019-01-31 02:10:08,578--Application Started...
INFO -2019-01-31 02:11:42,947--Application Started...
INFO -2019-01-31 02:18:03,217--Application Started...
INFO -2019-01-31 02:20:21,246--Application Started...
INFO -2019-01-31 02:38:54,285--Application Started...
INFO -2019-01-31 02:48:54,361--Application Started...
INFO -2019-01-31 02:53:05,195--Application Started...
INFO -2019-01-31 03:03:18,911--Application Started...
INFO -2019-01-31 03:05:52,748--Application Started...
INFO -2019-01-31 03:07:43,123--Application Started...
INFO -2019-01-31 03:12:24,222--Application Started...
INFO -2019-01-31 03:19:06,690--Application Started...
INFO -2019-01-31 03:20:58,415--Application Started...
INFO -2019-01-31 03:25:48,071--Application Started...
INFO -2019-01-31 13:22:26,504--Application Started...
INFO -2019-01-31 14:34:38,695--Application Started...
INFO -2019-01-31 15:02:53,830--Application Started...
INFO -2019-01-31 15:30:26,737--Application Started...
INFO -2019-01-31 15:40:34,689--Application Started...
INFO -2019-01-31 16:22:17,794--Application Started...
INFO -2019-01-31 16:26:36,441--Application Started...
INFO -2019-01-31 16:30:41,543--Application Started...
INFO -2019-01-31 16:36:16,377--Application Started...
INFO -2019-01-31 16:46:11,160--Application Started...
INFO -2019-01-31 16:57:18,116--Application Started...
INFO -2019-01-31 17:07:39,815--Application Started...
INFO -2019-01-31 17:14:45,208--Application Started...
INFO -2019-01-31 17:19:30,809--Application Started...
INFO -2019-02-01 21:26:38,104--Application Started...
INFO -2019-02-01 21:41:58,631--Application Started...
INFO -2019-02-01 21:59:09,763--Application Started...
INFO -2019-02-01 22:06:53,685--Application Started...
INFO -2019-02-01 22:35:02,861--Application Started...
INFO -2019-02-02 10:24:22,902--Application Started...
INFO -2019-02-02 10:43:36,509--Application Started...
INFO -2019-02-02 10:54:51,700--Application Started...
INFO -2019-02-02 11:04:57,959--Application Started...
INFO -2019-02-02 12:08:16,796--Application Started...
INFO -2019-02-02 12:11:34,394--Application Started...
INFO -2019-02-02 15:46:30,820--Application Started...
INFO -2019-02-02 16:21:14,776--Application Started...
INFO -2019-02-02 16:37:35,866--Application Started...
INFO -2019-02-02 17:38:27,145--Application Started...
INFO -2019-02-02 17:59:37,621--Application Started...
INFO -2019-02-02 18:07:48,018--Application Started...
INFO -2019-02-02 18:32:17,897--Application Started...
INFO -2019-02-02 18:38:03,875--Application Started...
INFO -2019-02-02 18:41:09,667--Application Started...
INFO -2019-02-02 18:49:32,503--Application Started...
INFO -2019-02-02 19:08:47,123--Application Started...
INFO -2019-02-02 19:15:01,805--Application Started...
INFO -2019-02-02 19:19:29,993--Application Started...
INFO -2019-02-02 19:35:45,379--Application Started...
INFO -2019-02-02 19:45:50,536--Application Started...
INFO -2019-02-02 19:54:23,376--Application Started...
INFO -2019-02-02 20:12:12,429--Application Started...
INFO -2019-02-02 20:22:10,213--Application Started...
